File,Iteration,Connected,Size,Clustersize,Total_CZ,Still_CZ,Ratio,Saved_entanglement_by_color
qpeexact_indep_qiskit_15,0,True,"[2, 16, 2, 2, 4, 2, 2, 4, 2, 2]",3,230,215,0.9347826086956522,"{1: 0, 2: 1100, 3: 0, 4: 0, 5: 200, 6: 0, 7: 0, 8: 200, 9: 0, 10: 0}"
qpeexact_indep_qiskit_15,0,True,"[4, 4, 4, 4, 2, 2, 16, 2]",4,230,202,0.8782608695652174,"{1: 500, 2: 200, 3: 500, 4: 500, 5: 0, 6: 0, 7: 1100, 8: 0}"
qpeexact_indep_qiskit_15,0,True,"[4, 4, 4, 32, 4, 4]",5,230,192,0.8347826086956521,"{1: 500, 2: 200, 3: 500, 4: 1900, 5: 500, 6: 200}"
qpeexact_indep_qiskit_25,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,627,627,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0}"
qpeexact_indep_qiskit_25,0,True,"[2, 2, 2, 2, 2, 2, 4, 2, 8, 2, 2, 2, 4, 16, 2, 4, 2]",3,627,603,0.9617224880382775,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 200, 8: 0, 9: 600, 10: 0, 11: 0, 12: 0, 13: 200, 14: 1200, 15: 0, 16: 200, 17: 0}"
qpeexact_indep_qiskit_25,0,True,"[4, 4, 2, 4, 4, 4, 2, 2, 2, 4, 4, 64, 2]",4,627,572,0.9122807017543859,"{1: 500, 2: 500, 3: 0, 4: 500, 5: 500, 6: 500, 7: 0, 8: 0, 9: 0, 10: 200, 11: 500, 12: 2300, 13: 0}"
qpeexact_indep_qiskit_25,0,True,"[8, 8, 4, 4, 4, 4, 4, 32, 4, 4]",5,627,569,0.9074960127591707,"{1: 900, 2: 600, 3: 200, 4: 500, 5: 200, 6: 500, 7: 200, 8: 2000, 9: 500, 10: 200}"
ae_indep_qiskit_25,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,600,600,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0}"
ae_indep_qiskit_25,0,True,"[4, 8, 2, 4, 2, 2, 2, 2, 4, 2, 4, 2, 2, 4, 2, 4, 2]",3,600,582,0.97,"{1: 200, 2: 600, 3: 0, 4: 200, 5: 0, 6: 0, 7: 0, 8: 0, 9: 200, 10: 0, 11: 200, 12: 0, 13: 0, 14: 200, 15: 0, 16: 200, 17: 0}"
ae_indep_qiskit_25,0,True,"[2, 2, 2, 2, 4, 2, 4, 4, 64, 4, 4, 4, 4]",4,600,556,0.9266666666666666,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 200, 6: 0, 7: 200, 8: 200, 9: 3000, 10: 200, 11: 200, 12: 200, 13: 200}"
ae_indep_qiskit_25,0,True,"[4, 128, 4, 4, 4, 4, 4, 4, 4, 4]",5,600,540,0.9,"{1: 200, 2: 4200, 3: 200, 4: 200, 5: 200, 6: 200, 7: 200, 8: 200, 9: 200, 10: 200}"
graphstate_indep_qiskit_25,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,25,25,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0}"
graphstate_indep_qiskit_25,0,True,"[2, 4, 2, 4, 2, 4, 4, 2, 2, 2, 4, 4, 2, 2, 4, 2, 4]",3,25,17,0.68,"{1: 0, 2: 100, 3: 0, 4: 100, 5: 0, 6: 100, 7: 100, 8: 0, 9: 0, 10: 0, 11: 100, 12: 100, 13: 0, 14: 0, 15: 100, 16: 0, 17: 100}"
graphstate_indep_qiskit_25,0,False,"[1, 2, 2, 2, 16, 32, 2, 4, 4, 4, 4, 4, 4]",4,25,14,0.56,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 300, 6: 200, 7: 0, 8: 100, 9: 100, 10: 100, 11: 100, 12: 100, 13: 100}"
graphstate_indep_qiskit_25,0,True,"[8, 4, 4, 8, 8, 4, 8, 8, 4, 4]",5,25,9,0.36,"{1: 200, 2: 100, 3: 100, 4: 200, 5: 300, 6: 100, 7: 200, 8: 200, 9: 100, 10: 100}"
ghz_indep_qiskit_25,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,24,24,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0}"
ghz_indep_qiskit_25,0,True,"[4, 4, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 4, 4, 4, 4, 4]",3,24,16,0.6666666666666666,"{1: 100, 2: 100, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 100, 10: 0, 11: 0, 12: 0, 13: 100, 14: 100, 15: 100, 16: 100, 17: 100}"
ghz_indep_qiskit_25,0,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4]",4,24,12,0.5,"{1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100, 10: 0, 11: 100, 12: 100, 13: 100}"
